date,segment,udv,buy_clicks,checkout_views,janus_purchases,ue_orders
2026-08-10,app_Android,146268,23313,26912,5106,4318
2026-08-11,app_Android,146543,22796,26138,5200,4293
2026-08-17,app_Android,141904,22163,24982,5173,4342
2026-08-18,app_Android,136989,22211,26326,5062,4280
2026-08-24,app_Android,128164,19412,22968,4790,3992
2026-08-25,app_Android,116010,18167,22227,4550,3791
2026-09-14,app_Android,113940,16986,22258,4268,3620
2026-09-15,app_Android,112197,16855,21628,4220,3573
2026-09-21,app_Android,118852,16958,22325,4493,3801
2026-09-22,app_Android,116399,17074,21662,4339,3738
2026-08-10,app_iOS,455043,87196,102614,21337,18520
2026-08-11,app_iOS,450711,83311,98250,20836,18169
2026-08-17,app_iOS,441847,80559,97758,20570,17989
2026-08-18,app_iOS,440007,81026,99962,20053,17556
2026-08-24,app_iOS,413751,73851,90447,19612,17224
2026-08-25,app_iOS,384555,70118,86916,17945,15714
2026-09-14,app_iOS,377334,63833,82826,16703,14931
2026-09-15,app_iOS,370685,62845,81229,16139,14312
2026-09-21,app_iOS,385407,65431,83874,17939,15840
2026-09-22,app_iOS,373317,64374,82478,16569,14768
2026-08-10,touch,382124,38012,61534,10998,12591
2026-08-11,touch,363539,36377,58732,10631,12092
2026-08-17,touch,389597,38008,58112,10513,11890
2026-08-18,touch,386733,36984,59437,10388,11710
2026-08-24,touch,343246,38601,56390,10274,11532
2026-08-25,touch,326412,39283,56119,10141,11332
2026-09-14,touch,306148,31817,47225,7274,8757
2026-09-15,touch,289273,30789,45503,7007,8595
2026-09-21,touch,303794,32995,51579,8864,10203
2026-09-22,touch,292177,31281,48485,7794,9071
2026-08-10,web,132647,17553,31120,6237,5997
2026-08-11,web,129559,17229,30579,6282,6135
2026-08-17,web,131752,17815,30479,6344,6148
2026-08-18,web,144784,17542,32806,6240,6009
2026-08-24,web,155349,18299,29823,6190,5966
2026-08-25,web,148805,19351,31457,6190,6053
2026-09-14,web,131897,16166,26033,4986,5163
2026-09-15,web,128798,15793,25620,4866,5075
2026-09-21,web,122538,15823,27916,5142,5091
2026-09-22,web,133493,16628,30234,5023,5098
