platform,traffic,uv_ty_d1,uv_ly_d1,uv_ty_d,uv_ly_d,uvrmt_ty_d1,uvrmt_ly_d1,uvrmt_ty_d,uvrmt_ly_d,udvv_ty_d1,udvv_ly_d1,udvv_ty_d,udvv_ly_d,udv_ty_d1,udv_ly_d1,udv_ty_d,udv_ly_d,imp_ty_d1,imp_ly_d1,imp_ty_d,imp_ly_d,ord_ty_d1,ord_ly_d1,ord_ty_d,ord_ly_d,bbc_ty_d1,bbc_ty_d,chkv_ty_d1,chkv_ty_d,chkuv_ty_d1,chkuv_ty_d
ALL,ALL,1052530,1107756,142938,1150829,1013251,1095162,1031893,1138367,553392,545293,542638,574113,930591,955809,915386,1006912,15088910,16767504,14893446,17450129,36799,35928,34445,39184,131207,129357,185694,182859,77501,75663
ALL,Direct,530142,573461,69313,584944,491492,560898,524773,572565,164602,196760,166495,201237,315032,380937,316216,390850,7566576,9126995,7517339,9282247,12812,13693,11791,14621,70924,70453,96467,95641,39558,38792
ALL,Non Brand SEM,,,,,124347,100216,107165,101256,85418,74970,73893,76147,125020,111627,109573,115732,1634699,1430881,1490931,1503767,6189,4817,5309,5059,25229,23438,33624,31681,15083,14005
ALL,Brand SEM,,,,,36181,38614,34508,39682,24336,25560,23033,26451,46063,50898,45137,54797,1207151,1362128,1225423,1476341,1207,1390,1027,1426,8361,7783,13277,12104,5371,4941
ALL,SEM PLA,,,,,73784,38603,76143,38155,68562,37679,70567,37384,121581,58683,124869,59946,793861,331772,816130,357484,3200,2063,3210,2195,22,20,34,33,18,14
ALL,SEM (all),234163,177433,26705,179093,234312,177433,217816,179093,178316,138209,167493,139982,292664,221208,279579,230475,3635711,3124781,3532484,3337592,10596,8270,9546,8680,33612,31241,46935,43818,20472,18960
ALL,SEO,44236,108991,5761,113575,44201,108991,46080,113575,23803,27396,25088,28169,34951,41174,36614,43965,709581,745865,743318,809105,2538,2436,2373,2541,7547,7539,11824,11567,5099,4923
ALL,Email,76404,85890,16698,92471,75418,85860,80658,92393,57875,60811,62966,65765,78681,94787,85692,102133,543408,903252,586014,1018014,2106,2970,2180,3384,7992,8774,12283,13573,4998,5329
ALL,Push Notification,53623,50760,8527,49256,53615,50759,51955,49251,38122,27517,34967,27250,79140,74621,74980,74090,1549516,1538150,1406723,1477630,3119,2652,3094,2962,2163,2051,2934,2895,1162,1107
ALL,Affiliate,13856,13034,1563,15868,13855,13034,13579,15868,9791,9162,9095,11241,14813,15238,13925,18015,258240,261161,280544,332910,2010,2039,1861,2412,2816,3023,4806,5296,2039,2094
ALL,Display,79558,80383,10999,88352,79799,80383,75526,88352,69632,71730,64748,78525,97115,106667,89611,116351,489282,726374,450343,819240,1262,1471,1269,1827,2386,2341,3860,3367,1420,1390
ALL,Other,20548,17804,3372,27270,20559,17804,21506,27270,11251,13708,11786,21944,18195,21177,18769,31033,336596,340926,376681,373391,2356,2397,2331,2757,3767,3935,6585,6702,2753,3068
app,ALL,485357,479406,72792,485140,,,,,248479,271901,240590,277085,504259,562550,489716,576169,10418745,11980670,10003734,12156135,20082,19546,18896,21529,82389,81448,106199,104140,43241,42507
app,Direct,316011,319624,48692,319439,,,,,115298,146293,113588,146463,246311,304693,243162,307924,6516411,7963559,6375050,8029343,9962,10522,9157,11175,61159,60942,80485,80226,32786,32220
app,Non Brand SEM,,,,,,,,,23560,17839,19869,18155,43646,35471,37234,36441,713698,582041,615906,597575,2357,1807,2014,1970,9575,8716,9970,8880,4177,3954
app,Brand SEM,,,,,,,,,3119,2575,2846,2695,6735,5535,6075,6280,164104,156258,155128,169322,171,133,146,140,1239,1103,1485,1237,640,565
