platform,date,orders,gb,m1vfm
ALL,2025-09-15,40414,3088759,691423
ALL,2025-09-16,39106,3063791,667346
ALL,2025-09-17,40630,3220868,720169
ALL,2025-09-18,43994,3322516,761788
ALL,2025-09-19,54331,3906127,849126
ALL,2025-09-20,56730,3964651,821798
ALL,2025-09-21,43170,2999473,661730
ALL,2025-09-22,37533,2885797,689124
ALL,2025-09-23,40949,3205737,720387
ALL,2026-09-14,35827,3122546,707010
ALL,2026-09-15,34996,3125503,695143
ALL,2026-09-16,36764,3199522,712590
ALL,2026-09-17,40709,3588433,798152
ALL,2026-09-18,48334,4214695,888349
ALL,2026-09-19,55955,4439736,913096
ALL,2026-09-20,42477,3443309,720425
ALL,2026-09-21,38082,3260216,726977
ALL,2026-09-22,35538,3265840,701865
app,2025-09-15,22481,1691287,376572
app,2025-09-16,21374,1652269,357396
app,2025-09-17,22572,1739911,383033
app,2025-09-18,24676,1776336,400803
app,2025-09-19,31175,2138865,459370
app,2025-09-20,32570,2216397,458509
app,2025-09-21,24380,1637113,360287
app,2025-09-22,20573,1508937,354713
app,2025-09-23,22662,1712389,378931
app,2026-09-14,19616,1777258,394261
app,2026-09-15,18871,1776710,385757
app,2026-09-16,19405,1792001,393768
app,2026-09-17,22588,2033651,446648
app,2026-09-18,27276,2408146,500536
app,2026-09-19,32775,2589768,525333
app,2026-09-20,24289,1953363,404033
app,2026-09-21,20852,1818968,399415
app,2026-09-22,19523,1831546,389495
touch,2025-09-15,9778,800027,178309
touch,2025-09-16,9710,800935,171734
touch,2025-09-17,9920,849172,189098
touch,2025-09-18,11283,935472,212674
touch,2025-09-19,14227,1122563,242061
touch,2025-09-20,16839,1244531,252192
touch,2025-09-21,12602,935680,201586
touch,2025-09-22,9496,785036,186432
touch,2025-09-23,9993,861874,191002
touch,2026-09-14,9025,821291,187118
touch,2026-09-15,8843,822288,184676
touch,2026-09-16,9313,874817,194392
touch,2026-09-17,10692,969733,214757
touch,2026-09-18,13547,1211344,253768
touch,2026-09-19,16858,1362226,279272
touch,2026-09-20,12733,1047992,218929
touch,2026-09-21,10549,927023,205110
touch,2026-09-22,9342,884795,185851
web,2025-09-15,6399,489724,111709
web,2025-09-16,6283,491362,111483
web,2025-09-17,6278,509628,120186
web,2025-09-18,6144,487394,119758
web,2025-09-19,6835,508291,117899
web,2025-09-20,4842,354335,78704
web,2025-09-21,4252,304190,72868
web,2025-09-22,5878,483572,121975
web,2025-09-23,6429,508515,122221
web,2026-09-14,5323,458553,110135
web,2026-09-15,5194,469331,111270
web,2026-09-16,5265,473732,110132
web,2026-09-17,5747,517587,121179
web,2026-09-18,6112,521356,117695
web,2026-09-19,4892,399543,89224
web,2026-09-20,4379,376379,82550
web,2026-09-21,5232,448682,106749
web,2026-09-22,5263,484210,111464
