platform,hour_utc,ord_ty_d1,ord_ly_d1,ord_ty_d,ord_ly_d
app,0,1129,1184,1063,1234
app,1,1070,1169,1123,1286
app,2,970,990,979,1130
app,3,760,809,784,905
app,4,644,574,589,740
app,5,433,385,422,536
app,6,278,253,320,349
app,7,142,150,150,157
app,8,120,115,123,151
app,9,110,108,104,121
app,10,146,177,168,231
app,11,281,348,282,402
app,12,491,545,515,659
app,13,790,810,784,938
app,14,1103,1093,989,1267
app,15,1390,1266,1081,1399
app,16,1505,1370,1303,1504
app,17,1541,1459,1374,1441
app,18,1477,1359,1319,1461
app,19,1387,1280,1290,1399
app,20,1363,1380,1237,1365
app,21,1324,1239,1253,1394
app,22,1230,1308,1166,1333
app,23,1168,1202,1105,1260
touch,0,551,558,545,568
touch,1,537,556,572,511
touch,2,558,450,488,470
touch,3,442,384,439,454
touch,4,292,305,258,344
touch,5,218,187,222,231
touch,6,148,115,153,148
touch,7,86,56,61,81
touch,8,43,56,49,52
touch,9,44,39,49,64
touch,10,92,62,76,68
touch,11,134,148,163,167
touch,12,244,262,223,302
touch,13,398,354,380,377
touch,14,583,506,420,554
touch,15,720,579,594,648
touch,16,792,612,567,687
touch,17,765,636,621,623
touch,18,721,654,607,642
touch,19,690,612,622,644
touch,20,655,603,615,570
touch,21,688,561,566,607
touch,22,606,610,532,610
touch,23,542,591,520,571
web,0,271,243,269,332
web,1,272,267,270,315
web,2,235,208,212,352
web,3,169,212,172,219
web,4,164,133,125,177
web,5,85,96,102,105
web,6,47,54,62,74
web,7,24,19,37,28
web,8,17,15,15,21
web,9,18,25,20,19
web,10,27,40,38,38
web,11,54,77,58,90
web,12,141,157,129,169
web,13,226,238,197,308
web,14,281,350,339,381
web,15,361,433,371,442
web,16,399,463,393,447
web,17,389,506,391,482
web,18,384,454,380,473
web,19,380,463,397,474
web,20,365,387,382,417
web,21,345,377,308,403
web,22,293,338,297,325
web,23,285,323,299,338
