dimension,dim_value,udv_ty_d1,udv_ly_d1,udv_ty_d,udv_ly_d,ord_ty_d1,ord_ly_d1,ord_ty_d,ord_ly_d,gb_ty_d1,gb_ly_d1,gb_ty_d,gb_ly_d,m1vfm_ty_d1,m1vfm_ly_d1,m1vfm_ty_d,m1vfm_ly_d
country,US,923595.0,943148.0,908199.0,999782.0,37422.0,36583.0,34993.0,39887.0,3246449.0,2853296.0,3250885.0,3169989.0,723391.0,680495.0,698052.0,711145.0
country,CA,6996.0,12661.0,7187.0,7130.0,14.0,347.0,17.0,390.0,860.0,15339.0,911.0,16559.0,249.0,3983.0,250.0,4275.0
grt_l1,L1 - Local,836167.0,845199.0,820061.0,893842.0,35684.0,34764.0,32949.0,38007.0,2980807.0,2652764.0,2884866.0,2976042.0,679890.0,647645.0,652251.0,680739.0
grt_l1,L1 - Travel,58993.0,67208.0,59971.0,70391.0,722.0,509.0,927.0,523.0,222047.0,142990.0,316310.0,129549.0,36278.0,24783.0,37878.0,22540.0
grt_l1,L1 - Shopping,33045.0,41421.0,32929.0,40694.0,993.0,1582.0,1102.0,1642.0,43504.0,72144.0,50033.0,79230.0,7244.0,11820.0,7990.0,11693.0
grt_l2,L2 - Health / Beauty / Wellness,334046.0,309560.0,340917.0,340861.0,10256.0,9594.0,10363.0,11370.0,1224507.0,1084610.0,1253936.0,1320636.0,308646.0,297438.0,307256.0,324041.0
grt_l2,L2 - Things to Do - Leisure,297102.0,293194.0,273421.0,304447.0,11759.0,10094.0,9533.0,10986.0,1055769.0,829459.0,964369.0,902201.0,189044.0,162441.0,173776.0,171086.0
grt_l2,L2 - Home & Auto,66199.0,59366.0,67301.0,61546.0,5071.0,5012.0,4851.0,5024.0,351569.0,330757.0,335754.0,329532.0,90601.0,85629.0,85639.0,82941.0
grt_l2,L2 - Retail,80602.0,88472.0,78873.0,89401.0,5868.0,6229.0,5481.0,6390.0,233055.0,245730.0,215770.0,251688.0,69153.0,70380.0,63230.0,70579.0
grt_l2,L2 - Hotel,41802.0,56506.0,43141.0,59797.0,687.0,497.0,874.0,516.0,187048.0,129324.0,241968.0,123944.0,32608.0,22846.0,29704.0,21824.0
grt_l2,L2 - Food & Drink,39686.0,56590.0,41366.0,61630.0,2306.0,3063.0,2320.0,3492.0,64216.0,77550.0,70815.0,89439.0,10686.0,10603.0,11974.0,11636.0
grt_l2,L2 - Things to Do - Live,18526.0,38010.0,18178.0,35945.0,424.0,772.0,401.0,745.0,51691.0,84658.0,44223.0,82546.0,11760.0,21155.0,10376.0,20455.0
grt_l2,L2 - Health  Beauty & Grocery,14672.0,15430.0,14167.0,15474.0,572.0,857.0,659.0,916.0,28669.0,41430.0,34156.0,45317.0,4791.0,7291.0,5665.0,7178.0
grt_l2,L2 - Tech & Toys,4649.0,7336.0,5588.0,7262.0,82.0,183.0,105.0,188.0,3819.0,13307.0,7181.0,16356.0,442.0,1362.0,705.0,1420.0
grt_l2,L2 - Tour,17191.0,10702.0,16830.0,10594.0,35.0,12.0,53.0,7.0,34999.0,13666.0,74342.0,5605.0,3670.0,1936.0,8174.0,716.0
lob_category,Core Local,551037.0,537623.0,548555.0,580738.0,19870.0,18899.0,18760.0,21670.0,1830760.0,1678687.0,1815212.0,1972360.0,446295.0,433061.0,437039.0,466073.0
lob_category,National / Enterprise,287494.0,309552.0,273913.0,315082.0,15851.0,15940.0,14221.0,16442.0,1150998.0,974814.0,1070241.0,1005410.0,233824.0,214814.0,215395.0,215114.0
lob_category,Travel,58993.0,67208.0,59971.0,70391.0,722.0,509.0,927.0,523.0,222047.0,142990.0,316310.0,129549.0,36278.0,24783.0,37878.0,22540.0
lob_category,Shopping,33045.0,41421.0,32929.0,40694.0,993.0,1582.0,1102.0,1642.0,43504.0,72144.0,50033.0,79230.0,7244.0,11820.0,7990.0,11693.0
lob_category,(null),22.0,5.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platform,app,504259.0,562550.0,489716.0,576169.0,21899.0,22351.0,20615.0,24726.0,1936303.0,1665648.0,1950056.0,1906587.0,423499.0,389824.0,413213.0,419349.0
platform,touch,303794.0,269961.0,292177.0,290513.0,9256.0,8315.0,8135.0,8681.0,817359.0,682590.0,774586.0,737202.0,182041.0,164090.0,164893.0,165211.0
platform,web,122538.0,123298.0,133493.0,140230.0,5716.0,6243.0,5708.0,6812.0,493578.0,520396.0,526941.0,542705.0,118084.0,130564.0,120085.0,130845.0
platform,unknown,0.0,0.0,0.0,0.0,18.0,21.0,15.0,44.0,69.0,0.0,0.0,54.0,17.0,0.0,0.0,15.0
platform,(null),0.0,0.0,0.0,0.0,547.0,0.0,537.0,14.0,0.0,0.0,212.0,0.0,0.0,0.0,110.0,0.0
total,TOTAL,930591.0,955809.0,915386.0,1006912.0,37436.0,36930.0,35010.0,40277.0,3247309.0,2868635.0,3251796.0,3186548.0,723641.0,684478.0,698302.0,715420.0
traffic_source,Direct,315032.0,380937.0,316216.0,390850.0,13010.0,14064.0,11962.0,15003.0,1103722.0,1058889.0,1083584.0,1168508.0,247013.0,251837.0,237784.0,258841.0
traffic_source,Non Brand SEM,246601.0,170310.0,234442.0,175678.0,9516.0,7032.0,8632.0,7438.0,900347.0,602505.0,869086.0,642329.0,200164.0,145953.0,189445.0,148405.0
