platform,traffic_source,bucket,impressions,udv,orders,gb_usd,m1vfm_usd
ALL,ALL,ly_d,17450129,1006912,40219,3186494,715405
ALL,ALL,ly_d1,16767504,955809,36909,2868635,684478
ALL,ALL,ty_d,14893446,915386,34458,3251584,698192
ALL,ALL,ty_d1,15088901,930591,36871,3247240,723624
app,ALL,ly_d,12156135,576169,24726,1906587,419349
app,ALL,ly_d1,11980670,562550,22351,1665648,389824
app,ALL,ty_d,10003734,489716,20615,1950056,413213
app,ALL,ty_d1,10418736,504259,21899,1936303,423499
app,Affiliate,ly_d,80578,3966,598,51626,10220
app,Affiliate,ly_d1,74558,3834,506,45639,9901
app,Affiliate,ty_d,47491,2604,468,54253,9522
app,Affiliate,ty_d1,49989,2825,476,48318,9554
app,Brand SEM,ly_d,169322,6280,163,14065,3133
app,Brand SEM,ly_d1,156258,5535,162,12826,3223
app,Brand SEM,ty_d,155128,6075,149,12622,2618
app,Brand SEM,ty_d1,164104,6735,178,14189,3059
app,Direct,ly_d,8029343,307924,12250,935917,205496
app,Direct,ly_d1,7963559,304693,11476,846032,198888
app,Direct,ty_d,6375050,243162,10064,897482,198264
app,Direct,ty_d1,6516402,246311,10890,921475,204637
app,Display,ly_d,726085,63375,1598,116734,26213
app,Display,ly_d1,646206,58040,1276,96495,23193
app,Display,ty_d,374640,36899,1044,108904,21886
app,Display,ty_d1,412170,40077,995,90726,19374
app,Email,ly_d,577936,46663,1883,121854,27290
app,Email,ly_d1,542819,45844,1598,96223,22311
app,Email,ty_d,297964,29420,1038,76808,15849
app,Email,ty_d1,279055,27363,1076,84190,17983
app,Non Brand SEM,ly_d,829064,61189,3089,269873,58920
app,Non Brand SEM,ly_d1,797602,58962,2811,239539,54939
app,Non Brand SEM,ty_d,1122883,84923,3672,382366,81841
app,Non Brand SEM,ty_d1,1218564,90152,4058,391361,85583
app,Other,ly_d,192589,8765,1657,120415,26735
app,Other,ly_d1,195157,7327,1357,98480,23432
app,Other,ty_d,146583,7765,624,49317,10989
app,Other,ty_d1,148790,7688,590,52198,11118
app,Push Notification,ly_d,1477630,74090,3017,231781,52175
app,Push Notification,ly_d1,1538150,74621,2733,195648,46435
app,Push Notification,ty_d,1406713,74979,3081,319890,62788
app,Push Notification,ty_d1,1549504,79139,3123,287532,61884
app,SEO,ly_d,73588,3917,471,44323,9167
app,SEO,ly_d1,66361,3694,432,34765,7501
app,SEO,ty_d,77282,3889,475,48412,9456
app,SEO,ty_d1,80158,3969,513,46313,10307
touch,ALL,ly_d,2655859,290513,8681,737202,165211
