platform,traffic_source,step,ty_act,ty_norm,ly_act,ly_norm,ty_abn_bps,ly_abn_bps,seas_bps,dc_bps_exact
ALL,ALL,1,-1.3,-0.8,4,1.5,-53,-249,-224,-813
ALL,ALL,2,-0.3,-2.2,1.2,-1.1,178,-228,-106,-813
ALL,ALL,3,-5.1,0.1,3.4,-0.8,-514,-416,92,-813
ALL,ALL,4,6.9,1.7,1.9,0.7,508,-120,94,-813
ALL,ALL,5,-3.7,-1,-6.1,-1,-266,505,8,-813
app,ALL,1,-4.1,-0.5,1.5,1.1,-203,-21,-95,-578
app,ALL,2,1.1,-0.8,0.9,-1.2,114,-123,19,-578
app,ALL,3,-3.1,-0.9,7.7,0.2,-130,-442,-60,-578
app,ALL,4,6.7,2.5,3.4,1.2,247,-132,76,-578
app,ALL,5,-3.2,-1.4,-6.2,-1.7,-102,262,22,-578
touch,ALL,1,-2.2,-0.2,10.1,-0.2,-47,-238,1,-267
touch,ALL,2,-1.7,-3.6,-2.7,1.2,43,91,-109,-267
touch,ALL,3,-9,1.6,-3,-4.3,-244,-30,136,-267
touch,ALL,4,7.5,1.1,3.4,-0.5,148,-89,37,-267
touch,ALL,5,-4.5,0.3,-7,-0.1,-110,161,7,-267
web,ALL,1,11.3,3.5,10.1,5.9,132,-75,-50,32
web,ALL,2,-2.8,-1.8,2.8,-2.4,-16,-94,13,32
web,ALL,3,-8.7,0.4,-4.1,-2.6,-153,28,54,32
web,ALL,4,6.7,2.2,-4.5,1.3,75,107,13,32
web,ALL,5,-4.9,-1.7,-4,-0.3,-53,68,-23,32
app,Affiliate,1,-5.1,2.8,7.8,8.8,-11,1,-9,-5
app,Affiliate,2,-3,-8.1,-4.4,2.4,7,10,-14,-5
app,Affiliate,3,6.5,-4.9,13.3,-7.7,15,-30,5,-5
app,Affiliate,4,13.3,4.7,-4.4,0.5,11,7,5,-5
app,Affiliate,5,-11.9,-3.8,-9.2,-0.7,-11,12,-4,-5
app,Brand SEM,1,-5.6,-5.4,8,1.7,-0,-3,-3,-5
app,Brand SEM,2,-4.7,-1.1,4.6,-0.7,-1,-2,-0,-5
app,Brand SEM,3,-7.5,-4.1,-12,-7,-1,2,2,-5
app,Brand SEM,4,6.1,0.5,8.6,-2.3,2,-5,1,-5
app,Brand SEM,5,-3.9,1.7,-12.1,3,-2,7,-1,-5
app,Direct,1,-2.2,-1.2,0.8,0.7,-28,-3,-53,-185
app,Direct,2,0.9,-0.2,0.2,-1.6,30,-52,41,-185
app,Direct,3,-6.6,-2,5.5,-0.7,-127,-178,-35,-185
app,Direct,4,5.2,1.1,3.6,3,114,-16,-55,-185
app,Direct,5,-0.5,-0.9,-6.8,-1.6,9,150,23,-185
app,Email,1,6.6,-2.1,6.3,3.3,19,-11,-17,-97
app,Email,2,0.7,-6.4,-4.5,-3,16,6,-3,-97
app,Email,3,-10.8,4.7,14.6,3.8,-34,-41,-4,-97
app,Email,4,-5.6,3.3,7.2,0,-20,-27,7,-97
app,Email,5,-3.5,-2.8,-3.5,-1.7,-2,7,0,-97
app,Non Brand SEM,1,-8.2,-4,3.9,-2.6,-48,-53,-25,-127
app,Non Brand SEM,2,2.2,-0.7,-0.2,-0.7,33,-4,-2,-127
app,Non Brand SEM,3,-4,0.2,5.7,-2.7,-49,-70,25,-127
app,Non Brand SEM,4,7.7,2.3,2.5,-0.3,61,-23,29,-127
app,Non Brand SEM,5,-2.1,0.3,-4.9,-0.4,-28,38,7,-127
app,Push Notification,1,-9.7,1,-4,4,-94,58,-20,-77
app,Push Notification,2,4.3,1,3.3,-0.7,28,-29,14,-77
