segment,year,ty_monday,udv_dod_pct,orders_dod_pct,gb_dod_pct,m1vfm_dod_pct
L2 - Health / Beauty / Wellness,TY,0810,-0.0,3.9,5.7,10.3
L2 - Health / Beauty / Wellness,TY,0817,4.7,5.3,6.2,-1.0
L2 - Health / Beauty / Wellness,TY,0824,-3.2,3.9,7.4,5.6
L2 - Health / Beauty / Wellness,TY,0914,-1.1,0.7,0.4,-2.0
L2 - Health / Beauty / Wellness,TY,0921,2.1,1.0,2.4,-0.5
L2 - Health / Beauty / Wellness,LY,0810,-0.4,-0.4,-0.4,8.3
L2 - Health / Beauty / Wellness,LY,0817,4.5,3.2,0.4,-3.2
L2 - Health / Beauty / Wellness,LY,0824,5.5,14.5,14.9,4.1
L2 - Health / Beauty / Wellness,LY,0914,3.3,1.0,2.1,-3.3
L2 - Health / Beauty / Wellness,LY,0921,10.1,18.5,21.8,8.9
L2 - Retail,TY,0810,-3.1,0.8,1.1,1.8
L2 - Retail,TY,0817,-0.7,-7.4,-5.1,-5.2
L2 - Retail,TY,0824,-14.9,-7.7,-7.6,-6.6
L2 - Retail,TY,0914,-7.8,-6.9,-6.3,-5.5
L2 - Retail,TY,0921,-2.1,-6.6,-7.4,-8.6
L2 - Retail,LY,0810,-6.1,-4.2,-2.8,-1.1
L2 - Retail,LY,0817,-5.2,-4.3,-5.3,-4.3
L2 - Retail,LY,0824,-1.5,-8.6,-2.2,-2.7
L2 - Retail,LY,0914,0.9,0.1,3.3,0.2
L2 - Retail,LY,0921,1.1,2.6,2.4,0.3
L2 - Things to Do - Leisure,TY,0810,-4.1,-5.5,-3.9,-4.1
L2 - Things to Do - Leisure,TY,0817,-3.9,-3.1,-3.5,-3.3
L2 - Things to Do - Leisure,TY,0824,-7.2,-7.0,-4.6,-3.4
L2 - Things to Do - Leisure,TY,0914,-5.6,-4.1,0.8,0.4
L2 - Things to Do - Leisure,TY,0921,-8.0,-18.9,-8.7,-8.1
L2 - Things to Do - Leisure,LY,0810,-3.1,-1.1,-3.2,-0.9
L2 - Things to Do - Leisure,LY,0817,-8.7,-8.5,-9.4,-5.7
L2 - Things to Do - Leisure,LY,0824,-0.2,4.0,2.9,2.6
L2 - Things to Do - Leisure,LY,0914,-0.7,-5.1,-0.5,-0.8
L2 - Things to Do - Leisure,LY,0921,3.8,8.8,8.8,5.3
Core Local,TY,0810,-1.1,2.4,1.5,4.0
Core Local,TY,0817,2.6,5.5,3.3,-0.9
Core Local,TY,0824,-4.7,-2.2,2.5,2.0
Core Local,TY,0914,-2.3,1.0,1.3,0.1
Core Local,TY,0921,-0.5,-5.6,-0.8,-2.1
Core Local,LY,0810,-1.2,-0.0,-0.1,5.6
Core Local,LY,0817,0.1,-1.9,-3.2,-3.6
Core Local,LY,0824,4.3,12.4,12.8,5.1
Core Local,LY,0914,1.6,-1.2,0.8,-3.0
Core Local,LY,0921,8.0,14.7,17.5,7.6
National / Enterprise,TY,0810,-4.9,-5.7,-4.4,-3.4
National / Enterprise,TY,0817,-2.8,-5.9,-6.2,-6.2
National / Enterprise,TY,0824,-9.4,-7.2,-5.6,-4.6
National / Enterprise,TY,0914,-4.8,-6.3,-4.4,-6.8
National / Enterprise,TY,0921,-4.7,-10.3,-7.0,-7.9
National / Enterprise,LY,0810,-2.4,-0.3,-5.4,-3.0
National / Enterprise,LY,0817,-5.9,-8.3,-9.5,-7.4
National / Enterprise,LY,0824,-0.4,-5.7,-3.8,-4.7
National / Enterprise,LY,0914,-1.5,-5.6,-2.4,-3.8
National / Enterprise,LY,0921,1.8,3.1,3.1,0.1
Travel,TY,0810,-0.2,6.9,1.2,1.7
Travel,TY,0817,-3.5,-2.3,0.6,0.6
Travel,TY,0824,-2.7,-6.0,-13.4,-13.0
Travel,TY,0914,-2.1,3.9,14.4,11.8
Travel,TY,0921,1.7,28.4,42.5,4.4
Travel,LY,0810,0.6,2.5,11.7,10.1
Travel,LY,0817,1.8,6.4,-3.7,-1.2
Travel,LY,0824,6.3,19.9,32.2,12.6
Travel,LY,0914,5.8,6.9,-6.2,-6.3
Travel,LY,0921,4.7,2.8,-9.4,-9.0
app,TY,0810,-0.7,-1.4,-0.5,2.3
app,TY,0817,-1.2,-2.2,-0.2,-2.6
app,TY,0824,-7.6,-7.7,-4.9,-5.5
app,TY,0914,-1.7,-3.1,0.5,-1.7
app,TY,0921,-2.9,-5.9,0.7,-2.4
app,LY,0810,-1.6,-0.9,-1.2,2.3
app,LY,0817,-4.3,-4.7,-5.5,-6.1
app,LY,0824,2.1,7.2,10.7,5.7
app,LY,0914,-1.1,-4.7,-2.2,-4.9
app,LY,0921,2.4,10.6,14.5,7.6
touch,TY,0810,-4.9,-3.4,-2.6,-0.7
touch,TY,0817,-0.7,-1.8,-2.4,-3.8
touch,TY,0824,-4.9,-0.5,0.9,2.0
touch,TY,0914,-5.5,-3.9,-2.1,-2.7
touch,TY,0921,-3.8,-12.1,-5.2,-9.4
